# time,  FLS,  FRS,  RLS,  RRS,  FLA,  FRA,  RLA,  RRA,  FLS_cmd,  FRS_cmd,  RLS_cmd,  RRS_cmd,  FLA_cmd,  FRA_cmd,  RLA_cmd,  RRA_cmd, 
1708525402312357850 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402322356953 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402332349659 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402342358308 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402352359440 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402362356552 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402372371840 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402382352642 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402392358305 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402402323824 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402412351681 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402422351970 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402432362989 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402442267169 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402452275202 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402462272250 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402472360226 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402482361205 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402492361742 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402502352013 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402512362070 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402522270873 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402532272899 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402542247006 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402552274715 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402562246213 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402572271867 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402582238061 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402592268355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402602241459 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402612267706 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402622238780 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402632268546 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402642238233 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402652267896 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402662239557 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402672247029 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402682249877 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402692275719 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402702280489 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402712279763 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402722280799 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402732352832 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402742332294 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402752352643 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402762354754 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402772354093 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402782355069 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402792292738 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402802254181 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402812281674 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402822254582 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402832278710 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402842253276 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402852279673 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402862254312 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402872349871 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402882326079 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402892348692 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402902297274 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402912282284 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402922350851 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402932352696 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402942360130 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402952350575 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402962294090 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402972356104 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
